ВРЕМЯ	s	2015.7
ЖИЗНЬ	s	1389.8
СЛОВО	s	967.9
МЕСТО	s	926.6
НИЧТО	spro	902.8
КОНЕЦ	s	634.7
ЧАСТЬ	s	585.4
ГОРОД	s	573.4
НИКТО	spro	562.2
ЗЕМЛЯ	s	494.4
МНОГО	num	480.0
ПРАВО	s	461.4
ДВЕРЬ	s	450.8
ОБРАЗ	s	445.9
ЗАКОН	s	433.4
ВОЙНА	s	425.9
ГОЛОС	s	424.5
КНИГА	s	413.9
ЧИСЛО	s	393.5
НАРОД	s	385.6
ФОРМА	s	347.8
СВЯЗЬ	s	346.1
УЛИЦА	s	337.8
ВЕЧЕР	s	335.4
МЫСЛЬ	s	331.6
МЕСЯЦ	s	328.0
ШКОЛА	s	316.0
ТЕАТР	s	305.3
РУБЛЬ	s	296.4
СМЫСЛ	s	294.6
ОРГАН	s	288.4
РЫНОК	s	283.3
СЕМЬЯ	s	276.6
ЦЕНТР	s	265.9
ОТВЕТ	s	263.3
АВТОР	s	262.1
СТЕНА	s	261.0
СОВЕТ	s	245.5
ГЛАВА	s	240.2
НАУКА	s	239.0
ПЛЕЧО	s	236.4
ТОЧКА	s	232.2
ПАЛЕЦ	s	219.1
НОМЕР	s	201.2
МЕТОД	s	197.0
ФИЛЬМ	s	196.8
ГОСТЬ	s	192.7
КРОВЬ	s	187.8
РАЙОН	s	187.8
АРМИЯ	s	186.4
КЛАСС	s	185.8
ГЕРОЙ	s	184.0
СПИНА	s	183.1
БОЛЕЕ	num	179.2
СЦЕНА	s	177.2
ОБЪЕМ	s	165.8
БЕРЕГ	s	164.7
ФИРМА	s	164.4
ЗАВОД	s	164.0
ПЕСНЯ	s	160.1
РОМАН	s	157.7
СТИХИ	s	157.0
ПОВОД	s	151.2
УСПЕХ	s	149.5
ВЫХОД	s	147.0
ТЕКСТ	s	146.2
ПУНКТ	s	144.0
ЛИНИЯ	s	143.7
СРЕДА	s	142.4
ВОЛОС	s	141.8
ВЕТЕР	s	140.3
